CH BEEF RIBEYE STK,18.42
CH BEEF RIBEYE STK,16.90
NATURESWEET TOMATO,3.99
2 QTY GATORADE G,14.98
SC 2858 CLUB GATORA (6.99),-0.50
SC 2858 CLUB GATORA (6.99),-0.50
2 QTY GATORADE G,14.98
SC 2858 CLUB GATORA (6.99),-0.50
SC 2858 CLUB GATORA (6.99),-0.50
GATORADE ZERO ORNG,1.69
SC 2492 CLUB GATORA (1.00),-0.69
LUC WHIPPING CREAM,5.39
" 0.96 lb @ $1.49 /lb MAN WT           
WT ONIONS RED",1.43
S FARMS MUSHROOMS,6.99
L CRM CHEESE,1.99
SC 3055 CLUB LUCERN (1.67),-0.32
L WHOLE MILK,3.29
L WHOLE MILK,3.29
YELLOW BELL PEPPER,1.99
SC 1430 CLUB BELL P (1.00),-0.99
O S JUICE,4.11
3 QTY NBC TRISCU,16.17
SC 4759 CLUB NABISC (4.49),-0.90
SC 4759 CLUB NABISC (4.49),-0.90
SC 4759 CLUB NABISC (4.49),-0.90
2 QTY NBC TRISCU,10.78
SC 4759 CLUB NABISC (4.49),-0.90
SC 4759 CLUB NABISC (4.49),-0.90
" 0.67 lb @ $1.99 /lb MAN WT           
WT ZUCCHINI SQUASH",1.33
ORANGE BELL PEPPER,1.99
SC 1430 CLUB BELL P (1.00),-0.99
2 QTY PEPPERS BE,1.98
2 QTY RED BELL P,3.98
SC 1430 CLUB BELL P (1.00),-0.99
SC 1430 CLUB BELL P (1.00),-0.99
ATHENOS FETA CRMBL,8.99
SC 6101 CLUB ATHENO (7.99),-1.00
2 QTY CUCUMBERS,1.58
S SEL ALUMINUM,4.19
SC 7448 CLUB SIGNAT (3.29),-0.90
BF TOP ROUND STEAK,9.50
NAT OWN WHAT HONEY,3.79
LUC GRATED PARMESA,3.19
SABRA HUMMUS,4.99
RSDT RED PPR HMMU,4.99
8 QTY LARGE LEMO,7.92
GROCERY,6.99
SIG FARMS MSHRM CR,2.29
SC 0672 CLUB SIG MU (2.00),-0.29
" 0.96 lb @ $2.99 /lb MAN WT           
WT ORGANIC BROCCOLI",2.87
BC CKE MX RD VELVE,2.19
2 QTY LUC EGGS L,5.78
OROWEAT,4.89
SC 8809 CLUB OROWEA (2.99),-1.90
GROCERY,6.99
KINGS HAWAIIAN RL,6.99
MRS B SYRUP ORGNL,4.89
SC 9675 CLUB MRS BU (4.39),-0.50
LUC GREEK YOGURT,3.79
MR .COM DLVR CHRG,3.95
TAX,3.67
